coor.Image X [mm];coor.Image Y [mm];disp.Horizontal Displacement U [mm];disp.Vertical Displacement V [mm];strain.Strain-global frame: Exx [ ];strain.Strain-global frame: Eyy [ ];strain.Strain-global frame: Exy [ ]
7.425000000E+000;1.077500000E+001;8.892792286E-004;-1.763503367E-001;-4.806529075E-005;7.441691839E-003;-1.178887359E-003
1.217500000E+001;1.390000000E+001;-6.879484919E-004;-1.699327147E-001;-2.266595088E-003;1.019059435E-002;-3.171625606E-003
8.925000000E+000;2.690000000E+001;1.814226365E-003;-2.390888861E-003;2.376121083E-004;7.292058522E-003;-2.208161271E-003
1.005000000E+001;2.302500000E+001;9.646527909E-003;-4.168146176E-002;-3.150437228E-003;1.103598627E-002;-4.898846731E-003
7.300000000E+000;1.065000000E+001;6.928554693E-004;-1.768242594E-001;-5.165195072E-005;7.435025313E-003;-1.309315497E-003
1.092500000E+001;1.777500000E+001;-1.077298541E-002;-1.184943507E-001;-1.920567015E-003;1.253952102E-002;-5.332966186E-003
1.055000000E+001;2.677500000E+001;2.578222147E-003;-4.755129190E-003;-1.778614102E-004;1.065152436E-002;-2.430738757E-003
3.550000000E+000;2.402500000E+001;1.500219784E-002;-2.290494910E-002;-1.677386128E-003;7.334535273E-003;-2.247677071E-003
9.300000000E+000;1.265000000E+001;3.979986313E-003;-1.677154985E-001;-1.080840975E-003;8.244140482E-003;-7.087373166E-004
5.300000000E+000;2.277500000E+001;1.592780793E-002;-3.242332106E-002;-2.357307000E-003;7.457045424E-003;-8.356754328E-004
1.005000000E+001;2.315000000E+001;9.863431740E-003;-4.021994850E-002;-3.000912970E-003;1.094788548E-002;-4.847496997E-003
1.092500000E+001;1.790000000E+001;-1.137363652E-002;-1.168990459E-001;-1.755908542E-003;1.255420711E-002;-5.226614226E-003
3.675000000E+000;2.402500000E+001;1.477079499E-002;-2.298983831E-002;-1.679677876E-003;7.344139697E-003;-2.203228961E-003
9.925000000E+000;2.577500000E+001;6.836606238E-003;-1.278679320E-002;-4.267203289E-004;9.236511311E-003;-3.208560553E-003
6.800000000E+000;2.077500000E+001;1.945219089E-002;-3.369992654E-002;-5.635404447E-003;4.739953224E-003;3.158490155E-003
9.300000000E+000;1.277500000E+001;4.201016690E-003;-1.666154779E-001;-1.147421128E-003;8.254683196E-003;-6.620540277E-004
5.300000000E+000;2.290000000E+001;1.548208501E-002;-3.144510669E-002;-2.231751249E-003;7.397325147E-003;-8.569247126E-004
1.092500000E+001;2.252500000E+001;5.277432198E-003;-5.832711327E-002;-3.628589740E-003;1.300788223E-002;-4.371044029E-003
9.925000000E+000;2.590000000E+001;6.405478778E-003;-1.165987288E-002;-3.503118183E-004;9.209660939E-003;-3.100230301E-003
3.800000000E+000;2.402500000E+001;1.454898025E-002;-2.293708179E-002;-1.678221184E-003;7.350890248E-003;-2.157019252E-003
1.092500000E+001;1.802500000E+001;-1.186834615E-002;-1.153626925E-001;-1.602902024E-003;1.256160819E-002;-5.092800624E-003
5.300000000E+000;2.302500000E+001;1.508448068E-002;-3.045523468E-002;-2.111161624E-003;7.342665135E-003;-8.825150827E-004
1.042500000E+001;1.452500000E+001;3.383052987E-003;-1.541073214E-001;-2.894433521E-003;9.823038689E-003;-1.954020758E-003
1.080000000E+001;1.227500000E+001;1.321780196E-003;-1.771142078E-001;-1.591682347E-003;9.001286640E-003;-2.166939000E-003
9.925000000E+000;2.602500000E+001;5.874258172E-003;-1.051361238E-002;-2.778381031E-004;9.181562834E-003;-2.994692113E-003
1.005000000E+001;1.877500000E+001;-1.378297419E-002;-9.923224221E-002;-1.306959398E-003;1.621247601E-002;-3.851497095E-003
1.117500000E+001;1.815000000E+001;-1.262438215E-002;-1.157839639E-001;-1.550300889E-003;1.201374425E-002;-4.849397850E-003
4.050000000E+000;2.027500000E+001;3.437898238E-002;-5.481954537E-002;-2.058964675E-003;9.565744535E-003;-4.681721901E-003
9.925000000E+000;1.490000000E+001;4.841016144E-003;-1.489071869E-001;-3.231925927E-003;9.616966874E-003;-1.170553614E-003
5.175000000E+000;2.265000000E+001;1.665353841E-002;-3.353686124E-002;-2.542615591E-003;7.650994019E-003;-1.051917684E-003
1.017500000E+001;2.540000000E+001;7.630132232E-003;-1.731831495E-002;-8.929195848E-004;1.001931043E-002;-3.537248909E-003
8.925000000E+000;1.577500000E+001;7.913654639E-003;-1.415566156E-001;-3.560325474E-003;7.684899305E-003;1.448076385E-003
9.925000000E+000;2.615000000E+001;5.368056101E-003;-9.388910785E-003;-2.106241123E-004;9.157553277E-003;-2.891236534E-003
1.030000000E+001;1.127500000E+001;1.077224942E-003;-1.833633849E-001;-8.360815126E-004;8.383008323E-003;-1.937013742E-003
1.130000000E+001;1.815000000E+001;-1.277593430E-002;-1.167816430E-001;-1.602227369E-003;1.178086339E-002;-4.815723601E-003
4.050000000E+000;2.040000000E+001;3.345911946E-002;-5.362863994E-002;-2.203299844E-003;9.511060523E-003;-4.634747787E-003
5.300000000E+000;2.265000000E+001;1.636118512E-002;-3.340046262E-002;-2.486653093E-003;7.519959099E-003;-8.201736687E-004
9.925000000E+000;2.627500000E+001;4.888732071E-003;-8.274520028E-003;-1.492806395E-004;9.133071205E-003;-2.792106732E-003
1.130000000E+001;2.002500000E+001;-8.966780616E-003;-9.476581996E-002;-2.061107164E-003;1.199563344E-002;-2.482712388E-003
1.105000000E+001;1.402500000E+001;1.854096083E-003;-1.619059266E-001;-2.474559382E-003;9.854890888E-003;-2.525598312E-003
1.142500000E+001;1.815000000E+001;-1.297305415E-002;-1.176798050E-001;-1.651551453E-003;1.156603622E-002;-4.785519269E-003
1.005000000E+001;1.490000000E+001;4.388989508E-003;-1.492368862E-001;-3.251998590E-003;9.774063509E-003;-1.438527389E-003
9.925000000E+000;2.565000000E+001;7.276664288E-003;-1.397370461E-002;-5.071896745E-004;9.264392650E-003;-3.319362055E-003
4.050000000E+000;2.052500000E+001;3.250946466E-002;-5.240912338E-002;-2.335677976E-003;9.454015100E-003;-4.565686161E-003
8.925000000E+000;2.652500000E+001;3.646574388E-003;-5.048949398E-003;3.048397188E-004;7.294702537E-003;-2.333187751E-003
7.300000000E+000;1.077500000E+001;9.081137382E-004;-1.758209456E-001;-5.932805548E-005;7.424236230E-003;-1.293795471E-003
9.925000000E+000;2.640000000E+001;4.323629584E-003;-7.192283427E-003;-9.391567273E-005;9.108014932E-003;-2.695237974E-003
8.925000000E+000;1.340000000E+001;5.697681640E-003;-1.606722248E-001;-1.202238983E-003;7.871334785E-003;-9.807530144E-005
2.800000000E+000;1.102500000E+001;5.405895374E-003;-1.277090542E-001;-1.687341552E-003;9.240017738E-003;-4.108952701E-003
8.925000000E+000;2.640000000E+001;4.231497911E-003;-5.907257603E-003;3.064763820E-004;7.287943434E-003;-2.384300637E-003
3.800000000E+000;2.015000000E+001;3.572060847E-002;-5.522754954E-002;-1.874073348E-003;9.102607677E-003;-4.605355067E-003
1.067500000E+001;2.677500000E+001;2.567857862E-003;-4.853393119E-003;-2.265132253E-004;1.101837972E-002;-2.427304448E-003
7.300000000E+000;1.090000000E+001;1.218669497E-003;-1.748577504E-001;-7.150222645E-005;7.409659253E-003;-1.281811465E-003
8.675000000E+000;2.627500000E+001;4.581630799E-003;-6.551402360E-003;3.640839647E-004;6.980298339E-003;-2.323553423E-003
9.050000000E+000;1.340000000E+001;5.495476765E-003;-1.609116877E-001;-1.308440265E-003;8.018903183E-003;-1.879293434E-004
4.050000000E+000;1.165000000E+001;5.791795151E-003;-1.384476762E-001;-1.685395658E-003;9.183380164E-003;-4.521914069E-003
1.080000000E+001;2.677500000E+001;2.554849594E-003;-4.968144255E-003;-2.798788298E-004;1.139929218E-002;-2.428938695E-003
7.425000000E+000;1.065000000E+001;7.103999466E-004;-1.773046970E-001;-3.967894526E-005;7.456784575E-003;-1.192307784E-003
3.925000000E+000;2.015000000E+001;3.543535953E-002;-5.566682150E-002;-1.890764175E-003;9.351965689E-003;-4.657669596E-003
8.800000000E+000;2.627500000E+001;4.677121277E-003;-6.642980877E-003;3.352329635E-004;7.125555020E-003;-2.382917495E-003
7.425000000E+000;1.090000000E+001;1.183406112E-003;-1.754208035E-001;-6.052416193E-005;7.424114628E-003;-1.166863288E-003
9.175000000E+000;1.340000000E+001;5.276246171E-003;-1.611711680E-001;-1.410507270E-003;8.163895297E-003;-2.947470802E-004
4.175000000E+000;1.165000000E+001;5.527886476E-003;-1.401415103E-001;-1.627156308E-003;9.137682965E-003;-4.518124911E-003
1.055000000E+001;2.565000000E+001;6.890816733E-003;-1.638047668E-002;-1.043647588E-003;1.092464753E-002;-3.537799078E-003
8.925000000E+000;2.627500000E+001;4.772963732E-003;-6.763520795E-003;3.008584034E-004;7.285036090E-003;-2.439623110E-003
4.050000000E+000;2.015000000E+001;3.525397989E-002;-5.606583876E-002;-1.906193628E-003;9.608705549E-003;-4.705562848E-003
7.550000000E+000;1.065000000E+001;6.102222924E-004;-1.778233479E-001;-1.778728797E-005;7.487976151E-003;-1.085324153E-003
1.042500000E+001;2.677500000E+001;2.556634231E-003;-4.623807958E-003;-1.400026763E-004;1.029533417E-002;-2.436791390E-003
8.800000000E+000;1.340000000E+001;5.829091643E-003;-1.604557013E-001;-1.098455375E-003;7.719915487E-003;-2.775270118E-005
4.175000000E+000;1.215000000E+001;7.392441251E-003;-1.354860645E-001;-1.994359549E-003;9.292272727E-003;-4.673376379E-003
7.550000000E+000;1.077500000E+001;8.817015255E-004;-1.768340178E-001;-2.941961704E-005;7.469192707E-003;-1.074303593E-003
7.425000000E+000;2.615000000E+001;4.563707206E-003;-7.092569111E-003;3.148054037E-004;6.374305879E-003;-1.782685819E-003
1.005000000E+001;2.652500000E+001;3.789681988E-003;-6.358361431E-003;-1.102307470E-004;9.376855114E-003;-2.619848446E-003
3.175000000E+000;1.090000000E+001;3.961907605E-003;-1.339020178E-001;-1.359952626E-003;9.175147889E-003;-4.180453517E-003
4.050000000E+000;2.065000000E+001;3.164618114E-002;-5.125149202E-002;-2.455811497E-003;9.388539074E-003;-4.476417494E-003
1.092500000E+001;1.815000000E+001;-1.228625269E-002;-1.138448995E-001;-1.463716750E-003;1.256082273E-002;-4.930130562E-003
7.550000000E+000;1.090000000E+001;1.171456084E-003;-1.758683640E-001;-4.407087403E-005;7.448706195E-003;-1.062523377E-003
8.925000000E+000;1.427500000E+001;7.069588930E-003;-1.536864454E-001;-1.762932139E-003;7.705281768E-003;4.366092442E-004
1.092500000E+001;2.677500000E+001;2.528051295E-003;-5.137488075E-003;-3.618521357E-004;1.179568310E-002;-2.441364073E-003
3.300000000E+000;1.090000000E+001;3.761635588E-003;-1.355294924E-001;-1.302414072E-003;9.175917995E-003;-4.215936475E-003
3.675000000E+000;2.015000000E+001;3.592530998E-002;-5.478052053E-002;-1.861619173E-003;8.858679417E-003;-4.551447761E-003
3.425000000E+000;1.090000000E+001;3.579500415E-003;-1.372004541E-001;-1.252359710E-003;9.174115659E-003;-4.242013924E-003
9.800000000E+000;2.615000000E+001;5.456570275E-003;-9.145740670E-003;-1.279724963E-004;8.871864786E-003;-2.858051591E-003
5.050000000E+000;2.415000000E+001;1.202487407E-002;-2.215624516E-002;-1.417902236E-003;7.157234134E-003;-1.430474524E-003
9.425000000E+000;2.290000000E+001;1.150819062E-002;-3.562964646E-002;-2.722341171E-003;9.240407090E-003;-4.940388255E-003
5.050000000E+000;1.852500000E+001;4.206015691E-002;-7.857030281E-002;-9.481510367E-004;1.441326650E-002;-3.136239605E-003
3.550000000E+000;2.015000000E+001;3.620340171E-002;-5.434949157E-002;-1.847230744E-003;8.618577663E-003;-4.499119734E-003
3.550000000E+000;1.090000000E+001;3.432559716E-003;-1.388559328E-001;-1.211605779E-003;9.164285955E-003;-4.266439070E-003
8.300000000E+000;2.640000000E+001;3.890581555E-003;-5.533592288E-003;4.024690599E-004;6.660084834E-003;-2.122085565E-003
9.800000000E+000;2.627500000E+001;4.904658146E-003;-8.076622800E-003;-7.266224937E-005;8.850468467E-003;-2.763482825E-003
9.050000000E+000;1.427500000E+001;6.841634246E-003;-1.537487370E-001;-1.900578367E-003;7.928799036E-003;2.997537380E-004
9.425000000E+000;2.302500000E+001;1.156194286E-002;-3.449917888E-002;-2.546372174E-003;9.167290821E-003;-4.837493521E-003
8.675000000E+000;1.052500000E+001;7.361601145E-004;-1.821964964E-001;6.162644456E-005;7.659372691E-003;-8.967560146E-004
3.675000000E+000;1.090000000E+001;3.270816348E-003;-1.405300180E-001;-1.176161482E-003;9.145561671E-003;-4.287322179E-003
5.050000000E+000;1.865000000E+001;4.212388888E-002;-7.696087197E-002;-9.058836364E-004;1.427713683E-002;-3.379306344E-003
3.425000000E+000;2.015000000E+001;3.646646997E-002;-5.396825385E-002;-1.828413597E-003;8.382614114E-003;-4.446177926E-003
9.800000000E+000;2.640000000E+001;4.313653197E-003;-6.979842605E-003;-2.404225881E-005;8.828684838E-003;-2.670872173E-003
2.925000000E+000;1.090000000E+001;4.345138045E-003;-1.305000250E-001;-1.518495853E-003;9.183173174E-003;-4.103613356E-003
6.550000000E+000;2.377500000E+001;1.159044238E-002;-2.273567773E-002;-4.290065153E-004;5.989357276E-003;-1.806916619E-004
9.425000000E+000;2.315000000E+001;1.153564331E-002;-3.332285357E-002;-2.373420188E-003;9.091610161E-003;-4.732079067E-003
6.175000000E+000;1.315000000E+001;6.738055819E-003;-1.514054640E-001;-1.321555966E-003;7.369133769E-003;-3.491172241E-003
7.550000000E+000;1.390000000E+001;7.490602419E-003;-1.555421764E-001;-6.337732126E-004;6.181586238E-003;-5.974690034E-004
3.050000000E+000;1.090000000E+001;4.135768457E-003;-1.322001584E-001;-1.432234342E-003;9.174366558E-003;-4.145318257E-003
4.800000000E+000;1.877500000E+001;4.184762995E-002;-7.381795138E-002;-8.364898281E-004;1.296023500E-002;-3.546748635E-003
3.925000000E+000;2.077500000E+001;3.115388325E-002;-4.974104670E-002;-2.514923840E-003;9.147342595E-003;-4.379782564E-003
1.105000000E+001;2.652500000E+001;3.519110309E-003;-8.199029963E-003;-6.519131416E-004;1.222036973E-002;-2.705911722E-003
9.050000000E+000;2.652500000E+001;3.715264251E-003;-5.140406863E-003;2.739097379E-004;7.460107523E-003;-2.374030316E-003
2.800000000E+000;1.090000000E+001;4.736019465E-003;-1.288368782E-001;-1.630975354E-003;9.207890742E-003;-4.071035111E-003
9.425000000E+000;2.327500000E+001;1.155873695E-002;-3.219651026E-002;-2.204915280E-003;9.016081932E-003;-4.627197293E-003
4.925000000E+000;1.877500000E+001;4.199835717E-002;-7.449405722E-002;-8.763927193E-004;1.357242788E-002;-3.586893162E-003
6.300000000E+000;1.315000000E+001;6.624986144E-003;-1.526086796E-001;-1.185522820E-003;7.229562353E-003;-3.247389247E-003
7.550000000E+000;1.402500000E+001;7.735250957E-003;-1.548424165E-001;-6.816289468E-004;6.074365093E-003;-5.706586983E-004
